moment,data,model,log_gap
labor_supply_age_20,0.18373965836516692,0.18362756253078635,-0.0006102658674126198
labor_supply_age_21,0.19345645777712706,0.19334031736169285,-0.0006005242359263763
labor_supply_age_22,0.21671218573736595,0.21658908343624156,-0.0005682065260101025
labor_supply_age_23,0.24079732771260862,0.24067120542569626,-0.0005239066776600667
labor_supply_age_24,0.2650585284895639,0.26493237748390175,-0.0004760497081090003
labor_supply_age_25,0.28111729761000165,0.28099307970915427,-0.00044196979056614457
labor_supply_age_26,0.2896179591834145,0.2894959622158982,-0.00042132286865488556
labor_supply_age_27,0.2929354082662309,0.29281592890267955,-0.0004079525137264925
labor_supply_age_28,0.2964598673229763,0.29634211150422607,-0.00039728551693442597
labor_supply_age_29,0.29811357541546096,0.2979977933418793,-0.0003884578657808743
labor_supply_age_30,0.3008846336635828,0.3007703937037153,-0.00037975236985995697
labor_supply_age_31,0.3010179115502259,0.3009060857123933,-0.00037156132544196305
labor_supply_age_32,0.30259147855737994,0.30248129221222536,-0.00036420857687057847
labor_supply_age_33,0.30256348452082005,0.3024549685552281,-0.00035871952732643406
labor_supply_age_34,0.30276742833374415,0.30266022056675235,-0.0003541555074567617
labor_supply_age_35,0.3031256827517513,0.3030197742368424,-0.0003494491784622523
labor_supply_age_36,0.3014657459090898,0.30136209394342256,-0.00034388579901712324
labor_supply_age_37,0.3003621988960944,0.30026115732547387,-0.00033645568567077324
labor_supply_age_38,0.30218612313021964,0.30208725674136816,-0.00032722404470201464
labor_supply_age_39,0.3044160034194981,0.3043190861447809,-0.0003184218462103947
labor_supply_age_40,0.3060925077606495,0.30599711655133277,-0.0003116903352062181
labor_supply_age_41,0.30733294972913744,0.30723857298577434,-0.00030713022200596084
labor_supply_age_42,0.3079577553851034,0.307863985691895,-0.0003045351850329639
labor_supply_age_43,0.31023071184124956,0.31013659069306143,-0.0003034368462870986
labor_supply_age_44,0.30801642224718423,0.307922899324248,-0.0003036757692830683
labor_supply_age_45,0.3057297691563298,0.3056371487941007,-0.0003029943564765226
labor_supply_age_46,0.3040654402468794,0.30397436883156526,-0.0002995574126411646
labor_supply_age_47,0.3024652555236719,0.30237669126367767,-0.0002928509211294735
labor_supply_age_48,0.3030260487961409,0.3029403652614479,-0.0002827996181844814
labor_supply_age_49,0.3018753893302271,0.301793849683298,-0.0002701467696392159
labor_supply_age_50,0.3048804134656106,0.30480272301844513,-0.0002548551630738441
labor_supply_age_51,0.30144186253635413,0.3013698704447763,-0.00023885431547279515
labor_supply_age_52,0.2992564635564609,0.2991898976970403,-0.00022246224224914442
labor_supply_age_53,0.29256221606112703,0.29250158782495395,-0.00020725341744748241
labor_supply_age_54,0.28986124247353534,0.2898051747490672,-0.00019344824187553583
labor_supply_age_55,0.2880792762411185,0.28802684633816567,-0.00018201474014143713
labor_supply_age_56,0.28200987549775336,0.2819609773526486,-0.00017340663965225738
labor_supply_age_57,0.27574497832508,0.27569891713624534,-0.00016705666458870076
labor_supply_age_58,0.26563118878264463,0.2655879581849261,-0.0001627599383823918
labor_supply_age_59,0.2552414415432089,0.2552006151293337,-0.00015996493011720075
labor_supply_age_60,0.24418395485047464,0.2441452767551699,-0.00015840991233909404
labor_supply_age_61,0.23031443834314794,0.2302780602087917,-0.0001579623400131305
labor_supply_age_62,0.21561822041414502,0.21558405897898186,-0.00015844737779548805
labor_supply_age_63,0.19912283673892303,0.1990909895797179,-0.00015995004275690832
labor_supply_age_64,0.1799418372068949,0.17991254639248128,-0.00016279259507884867
labor_supply_age_65,0.15846242882106668,0.15843634367877582,-0.0001646276010727091
labor_supply_age_66,0.1352505059985851,0.13522805703157484,-0.00016599442713916018
labor_supply_age_67,0.11373050976724197,0.11371150562276956,-0.000167111995416046
labor_supply_age_68,0.10043825409261897,0.10042136782706933,-0.00016813997186729043
labor_supply_age_69,0.08923747496265381,0.08922237585782702,-0.00016921570642813294
labor_supply_age_70,0.07936657556740091,0.07935305508897693,-0.00017036932861770127
labor_supply_age_71,0.06800236983921311,0.06799069818373893,-0.00017165074179909497
labor_supply_age_72,0.05961719376911532,0.05960687640318035,-0.00017307521787857683
labor_supply_age_73,0.05462288748609612,0.054613346046627084,-0.00017469367415413382
labor_supply_age_74,0.04893890892776013,0.048930271918342136,-0.00017650110822924124
labor_supply_age_75,0.04247191773191341,0.04246433666209916,-0.00017851198851354629
