type,beta_annual,beta_se,beta_at_bound,chi_b,chi_b_se,chi_b_at_bound
1,0.9531907140234597,0.003746518716542639,False,9.055933560373418,1.2476869407096893,False
2,0.9531907140234597,0.003746518716542639,False,9.055933560373418,1.2476869407096893,False
3,0.9586100196453871,0.003331603207707266,False,9.055933560373418,1.2476869407096893,False
4,0.9590449122931459,0.022662622980181672,False,24.71529483091019,6.3061863472657285,False
5,0.9330169547902464,0.023703993297165462,False,20.021116850528845,5.94289739762719,False
6,0.9999,,True,33.14364176519771,9.442463944270648,False
7,0.9999,,True,75.88060021148559,10.252779604834892,False
8,0.9999,,True,75.88060021148559,10.252779604834892,False
9,0.9999,,True,75.88060021148559,10.252779604834892,False
10,0.9966839765354011,0.005106525105130064,False,75.88060021148559,10.252779604834892,False
