moment,SCF data,Current parameters,Calibrated parameters,log_gap_Current parameters,log_gap_Calibrated parameters
wealth_share_0_25,-0.004564110867590205,0.021969008306604167,0.009223310103596774,,
wealth_share_25_50,0.019473000616056023,0.06440863898868134,0.036566028445096314,1.1962188475446822,0.6300907024612226
wealth_share_50_70,0.05518509934731778,0.11913762785895807,0.06189129285287153,0.7695863839854689,0.11468652757814467
wealth_share_70_80,0.0556960964642792,0.0989300693878425,0.04803307595230756,0.5745031676719439,-0.14802020710676034
wealth_share_80_90,0.10954867743956384,0.1577372005149043,0.10466182489750699,0.36456136704383496,-0.04563455607458372
wealth_share_90_99,0.3920567561506616,0.3448050752992063,0.39417559851557854,-0.12842735718212508,0.00538987611445499
wealth_share_99_99p5,0.09204017783150076,0.03557513547155976,0.05726970315998414,-0.950578245252592,-0.47445345405174155
wealth_share_99p5_99p9,0.1397506133212043,0.07026404707775329,0.14812158873713668,-0.6875992541012719,0.05817398127321138
wealth_share_99p9_99p99,0.0894354739550075,0.05240615521555361,0.089219743480816,-0.534493353492503,-0.0024150493015668824
wealth_share_99p99_100,0.05137821574199919,0.03476704187893667,0.05083783385490236,-0.39054439879612474,-0.010573426064822174
wealth_income_ratio,7.03205915595356,6.090423830914776,5.13981525551575,-0.14376189887384003,-0.3134624364268798
bequest_flow_ratio,0.01724036860342764,0.04254198908148117,0.0301035934588028,0.9032379208724909,0.557390902926265
old_age_wealth_ratio_75_79_over_60_64,0.7959121389321672,1.6755660377214125,1.0702082961158836,0.7444175186143518,0.2961197762511921
tilt_0_50_80_89_over_60_64,1.6239816944773418,2.4198528639023884,1.089180460959789,0.3988257684774622,-0.39945542703695935
tilt_50_70_80_89_over_60_64,0.8730341826595547,2.4334842805855974,0.866365705679555,1.0251046591940387,-0.007667598113347689
tilt_70_80_80_89_over_60_64,0.7615586378678356,1.8275055381956802,0.7582599012857184,0.8753400496157087,-0.004340967921169695
tilt_80_90_80_89_over_60_64,0.7480298719149889,1.6801332661845327,0.7507662485279064,0.8091854814687818,0.0036514367977526917
tilt_90_99_80_89_over_60_64,0.7615389491621026,1.9518947452479665,1.0130811593085909,0.9412145250525896,0.2854102998420976
tilt_99_100_80_89_over_60_64,0.8445853152761601,1.2856459700416112,0.9968598271795011,0.4201708156923377,0.16576440972623624
